,username,day,title,inTitle
0,khaby00,03-02-2022,Premio La Moda veste la Pace al tiktoker Khaby Lame,True
1,khaby00,04-13-2022,"Meno tweet meno post, influencer poco esposti sulla guerra in Ucraina",False
2,khaby00,05-27-2022,TikToker Khaby Lame inaugura biblioteca per bambini al Gaslini,True
3,khaby00,06-23-2022,Khaby Lame il personaggio più seguito al mondo su TikTok,True
4,khaby00,06-23-2022,Ora e' Khaby Lame il tiktoker piu' seguito al mondo,True
5,khaby00,06-24-2022,Cittadinanza italiana per Khaby Lame,True
6,khaby00,07-21-2022,"Juventus negli Usa con Bremer, otto gli assenti",False
7,khaby00,07-21-2022,"Juventus, Khaby Lame svela la seconda maglia",True
8,khaby00,07-21-2022,"Juve in partenza per Usa con Bremer, otto gli assenti",False
9,khaby00,08-03-2022,"Khaby Lame volto per Boss, firma anche capsule",True
10,khaby00,08-04-2022,Moda: Khaby Lame volto per Boss con Matteo Berrettini,True
11,khaby00,08-17-2022,"Il ""Re"" di TikTok Khaby Lame diventa cittadino italiano",True
12,khaby00,08-17-2022,"Il ""Re"" di TikTok Khaby Lame diventa cittadino italiano",True
13,khaby00,08-17-2022,'Re' del TikTok Khaby Lame diventa cittadino italiano,True
14,khaby00,08-18-2022,"Khaby Lame diventa cittadino italiano. Il Re di TikTok: ""Mi sentivo italiano anche prima""",True
15,khaby00,08-18-2022,"Khaby Lame, il re dei tiktoker, è diventato cittadino italiano",True
16,khaby00,12-13-2022,"Risate e lezioni fisica, il 2022 in Italia visto da Tik Tok",False
17,chiaraferragni,01-02-2022,"Chiara Ferragni, ""sono negativa, Fede ancora positivo al Covid""",True
18,chiaraferragni,01-02-2022,"Covid: Chiara Ferragni, sono negativa, Fedez ancora no",True
19,chiaraferragni,01-02-2022,"Covid, Chiara Ferragni: ""Sono negativa, mentre Fede e' ancora positivo""",True
20,chiaraferragni,01-02-2022,"Chiara Ferragni, ""io negativa, Fede ancora positivo Covid""",True
21,chiaraferragni,01-06-2022,Influencer amica di Ferragni derubata a casa da 4 donne,False
22,chiaraferragni,01-06-2022,Influencer amica di Ferragni derubata a casa da 4 donne,False
23,chiaraferragni,01-31-2022,"Cantanti sui social, dominano Emma, Elisa, Morandi",False
24,chiaraferragni,02-10-2022,"Influencer Marketing, aumenta la trasparenza sui post commerciali, +69%",False
25,chiaraferragni,02-14-2022,San Valentino: Chiara Ferragni celebra amore egualitario,True
26,chiaraferragni,02-19-2022,"Rapinano youtuber a Milano, tre arrestati",False
27,chiaraferragni,02-23-2022,"La passerella di Fendi, e c'è anche Chiara Ferragni",True
28,chiaraferragni,02-23-2022,Chiara Ferragni firma una sua linea profumi,True
29,chiaraferragni,02-23-2022,Chiara Ferragni firma una sua linea di profumi,True
30,chiaraferragni,02-24-2022,"Le Ferragni in prima pagina New York Times, Kardashian italiane",False
31,chiaraferragni,02-24-2022,Sorelle Ferragni conquistano prima pagina del NYT,False
32,chiaraferragni,03-01-2022,"Ferragni, sosteniamo raccolta fondi della Croce Rossa",False
33,chiaraferragni,03-02-2022,"Milano, collezione Dior: Chiara Ferragni e alcune modelle",True
34,chiaraferragni,03-17-2022,"Fedez in lacrime, sono malato",False
35,chiaraferragni,03-23-2022,"Fedez operato all'ospedale San Raffaele di Milano, Ferragni ""presto a casa""",False
36,chiaraferragni,03-24-2022,"Fedez, scoperto raro tumore neuroendocrino del pancreas",False
37,chiaraferragni,03-26-2022,Facci fallire! La solidarietà dissacrante di Taffo a Fedez,False
38,chiaraferragni,03-30-2022,Fedez: in vista dimissioni dal San Raffaele,False
39,chiaraferragni,03-31-2022,"Fedez torna a casa ""I medici mi hanno salvato la vita""",False
40,chiaraferragni,03-31-2022,"Fedez torna a casa: 'Grazie ai medici, torno a vivere'",False
41,chiaraferragni,03-31-2022,"Fedez esce dal San Raffaele, 'sto bene'",False
42,chiaraferragni,03-31-2022,Fedez ringrazia i sanitari: 'Mi avete salvato la vita',False
43,chiaraferragni,03-31-2022,"Fedez dimesso dal San Raffaele: ""Sto bene, grazie a tutti""",False
44,chiaraferragni,04-11-2022,"Corona:definì ebeti i Ferragnez, ordinata imputazione coatta",True
45,chiaraferragni,04-26-2022,">>>ANSA/ Fedez giudice per X Factor 2022, ""Torno a casa""",False
46,chiaraferragni,05-02-2022,Fedez e Chiara Ferragni al Gala del Met,True
47,chiaraferragni,05-02-2022,Chiara Ferragni e Fedez andranno al Met Gala di New York,True
48,chiaraferragni,05-03-2022,Al Met Gala Kim Kardashian ruba la scena come Marilyn,False
49,chiaraferragni,05-03-2022,"Ferragnez conquistano il gala del Met, KK nel vestito di Marilyn",True
50,chiaraferragni,05-03-2022,Met Gala: Kim Kardashian ruba la scena come Marilyn,False
51,chiaraferragni,05-04-2022,"Chiara Ferragni e Fedez al Met Gala, tra Elon Musk e Gigi Hadid",True
52,chiaraferragni,05-05-2022,"Valentina Ferragni, io e Chiara tra i miei gioielli",False
53,chiaraferragni,05-05-2022,"Curatori di musei in armi per Kardashian vestita Marilyn , è abito storico",False
54,chiaraferragni,05-10-2022,"Giorgia Soleri, io la Signorina Nessuno",False
55,chiaraferragni,05-10-2022,"Libro del giorno: Giorgia Soleri, io Signorina Nessuno",False
56,chiaraferragni,05-10-2022,"Giorgia Soleri, io Signorina Nessuno e Icaro",False
57,chiaraferragni,05-18-2022,"Segre invita Chiara Ferragni al Memoriale della Shoah, porterebbe giovani ",True
58,chiaraferragni,05-18-2022,"Segre invita Ferragni a Memoriale Shoah, porterebbe giovani",False
59,chiaraferragni,05-18-2022,"Fedez, Segre partecipi a nostro podcast Muschio Selvaggio",False
60,chiaraferragni,05-18-2022,"Fedez, Segre partecipi a nostro podcast Muschio Selvaggio",False
61,chiaraferragni,05-20-2022,Parata di vip a Portofino per il terzo sì di Kardashian e Barker,False
62,chiaraferragni,05-20-2022,Parata di vip a Portofino per il terzo sì di Kourtney Kardashian e Barker,False
63,chiaraferragni,05-23-2022,"Kourtney e Travis, nozze a Portofino firmate Dolce e Gabbana",False
64,chiaraferragni,05-24-2022,"Chiara Ferragni: ""Psicoterapia utile a chiunque""",True
65,chiaraferragni,06-01-2022,"Datamediahub, quanto e come si è parlato di Dua Lipa & gli Uffizi",False
66,chiaraferragni,06-07-2022,"Lorenzo Fragola pubblica video dopo attacco panico, ""Parlatene""",False
67,chiaraferragni,06-09-2022,"Ferragni incontra Segre, sua storia mi ha molto colpito",False
68,chiaraferragni,06-09-2022,Chiara Ferragni incontra Liliana Segre: 'La sua storia mi ha molto colpito',True
69,chiaraferragni,06-09-2022,Teatri d'opera sempre più social e cresce pubblico giovane,False
70,chiaraferragni,06-12-2022,"""Non voglio morire"", la confessione di Fedez allo psicologo",False
71,chiaraferragni,06-13-2022,"Fedez e l'audio dallo psicologo, 'Non voglio morire'",False
72,chiaraferragni,06-19-2022,"Marco Mengoni a San Siro, un inno agli anni '70",False
73,chiaraferragni,06-20-2022,"Sanremo, Chiara Ferragni co-conduttrice prima e ultima sera",True
74,chiaraferragni,06-20-2022,"Sanremo, Chiara Ferragni co-conduttrice della prima e ultima serata",True
75,chiaraferragni,06-21-2022,"Web e impatto sui giovani, affare Ferragni a Sanremo",False
76,chiaraferragni,06-21-2022,"In Italia si legge poco, influencer in soccorso per farne una moda",False
77,chiaraferragni,06-21-2022,"Chiara Ferragni co-conduttrice di Sanremo, Fedez si congratula con la moglie",True
78,chiaraferragni,06-22-2022,"Ferragni, la 'tremarella' per Sanremo e la nascita del nipotino",False
79,chiaraferragni,06-22-2022,"Francesca Ferragni e' diventata mamma, le prime immagini del piccolo Edoardo",False
80,chiaraferragni,06-22-2022,"Talkwalker, Amici, GF Vip e Sanremo i programmi più social",False
81,chiaraferragni,06-23-2022,Toscani: 'Ferragni è la fotografa più importante del momento',False
82,chiaraferragni,06-23-2022,"Make it short, Galleria Nazionale di Roma 'in breve' su YouTube",False
83,chiaraferragni,06-27-2022,Liliana Segre e Chiara Ferragni visitano il Memoriale della Shoah,True
84,chiaraferragni,06-27-2022,Liliana Segre e Chiara Ferragni insieme al Memoriale della Shoah,True
85,chiaraferragni,06-27-2022,Segre e Ferragni al memoriale della Shoah,False
86,chiaraferragni,06-28-2022,"Da D'Amico a Marcuzzi, stagione Rai al femminile    ",False
87,chiaraferragni,06-28-2022,"Da D'amico a Marcuzzi, nuova stagione Rai al femminile",False
88,chiaraferragni,06-28-2022,"Concerto Fedez e J-Ax a Milano, si riempie piazza Duomo",False
89,chiaraferragni,06-30-2022,"The Ferragnez la serie, seconda stagione su Prime Video",True
90,chiaraferragni,07-03-2022,"Chiara Francini, Essere una ragazza come io",False
91,chiaraferragni,07-03-2022,"Francini, Sanremo? Potremmo fare edizione delle Chiara",False
92,chiaraferragni,07-13-2022,"Sicurezza: Confcommercio, appello Ferragni sia stimolo positivo",False
93,chiaraferragni,07-13-2022,"Sicurezza: Ferragni, a Milano situazione è fuori controllo",False
94,chiaraferragni,07-14-2022,Chiara Ferragni: 'La sicurezza a Milano è fuori controllo'. La replica di Sala,True
95,chiaraferragni,07-14-2022,"Sala, sulla sicurezza non condivido quanto dice Chiara Ferragni",True
96,chiaraferragni,07-15-2022,"Ferragni: 'Sulla sicurezza uno sfogo, orgogliosa del lavoro di Sala'",False
97,chiaraferragni,07-15-2022,"Ferragni 'su sicurezza uno sfogo, orgogliosa lavoro Sala'",False
98,chiaraferragni,07-19-2022,Spagnola Natruly cresce in Italia e si allea con Foorban,False
99,chiaraferragni,07-19-2022,"Da Lillo Kung Fu a Fedez e Matano, i volti di Prime Video",False
100,chiaraferragni,07-27-2022,"Milano, nuova casa per i Ferragnez: la coppia visita il cantiere",True
101,chiaraferragni,08-05-2022,"Estate a tutta rafia e crochet, dal cappello alla borsa accessori must have",False
102,chiaraferragni,08-22-2022,"Ferragnez post estremo, utenti ""cattivo esempio""",True
103,chiaraferragni,08-22-2022,"Ferragnez, video mozzafiato sull'orlo di un precipizio: scoppia la polemica",True
104,chiaraferragni,08-24-2022,"Amadeus spegne 60 candeline, da dj a re di Sanremo",False
105,chiaraferragni,08-24-2022,"Chiara Ferragni contro Meloni, rischiamo una politica contro l'aborto",True
106,chiaraferragni,08-24-2022,"Aborto, in Italia il tasso tra i più bassi al mondo",False
107,chiaraferragni,08-24-2022,"Chiara Ferragni contro FdI, rischiamo politica anti aborto",True
108,chiaraferragni,08-24-2022,"Chiara Ferragni contro FdI, rischiamo politica contro aborto",True
109,chiaraferragni,08-24-2022,"Fiorello scherza con Amadeus: ""Siamo i nuovi Ferragnez, gli Amarello""",True
110,chiaraferragni,08-25-2022,"Back to school, accessori e moda tutte le novità per l'anno scolastico 2022/2023",False
111,chiaraferragni,09-01-2022,"Ferragnez, 4 anni nozze, ""notti a piangere ci hanno fortificato""",True
112,chiaraferragni,09-09-2022,"F1: nel paddock di Monza c'è Giroud, atteso Stallone",False
113,chiaraferragni,09-11-2022,"Fedez a Fdi,'a 18 anni insultavo cc? Meloni apprezzava duce'",False
