,username,day,followers,following,post,followers_delta,following_delta,post_delta,trends,ansa,ansa_delta
0,khaby00,01-02-2022,64717175,930,215,,,,18,0,0
1,khaby00,01-03-2022,64794028,930,216,76853.0,0.0,1.0,18,0,0
2,khaby00,01-04-2022,64955821,930,216,161793.0,0.0,0.0,18,0,0
3,khaby00,01-05-2022,65108863,930,217,153042.0,0.0,1.0,18,0,0
4,khaby00,01-06-2022,65236713,930,217,127850.0,0.0,0.0,18,0,0
5,khaby00,01-07-2022,65326245,929,218,89532.0,-1.0,1.0,18,0,0
6,khaby00,01-08-2022,65444955,928,219,118710.0,-1.0,1.0,18,0,0
7,khaby00,01-09-2022,65555369,930,219,110414.0,2.0,0.0,17,0,0
8,khaby00,01-10-2022,65676926,934,220,121557.0,4.0,1.0,17,0,0
9,khaby00,01-11-2022,65822607,934,221,145681.0,0.0,1.0,17,0,0
10,khaby00,01-12-2022,65997397,934,222,174790.0,0.0,1.0,17,0,0
11,khaby00,01-13-2022,66266590,934,223,269193.0,0.0,1.0,17,0,0
12,khaby00,01-14-2022,66033577,935,224,-233013.0,1.0,1.0,17,0,0
13,khaby00,01-15-2022,66800168,935,224,766591.0,0.0,0.0,17,0,0
14,khaby00,01-16-2022,67018354,938,224,218186.0,3.0,0.0,13,0,0
15,khaby00,01-17-2022,67191886,938,225,173532.0,0.0,1.0,13,0,0
16,khaby00,01-18-2022,67327105,941,226,135219.0,3.0,1.0,13,0,0
17,khaby00,01-19-2022,67567288,941,226,240183.0,0.0,0.0,13,0,0
18,khaby00,01-20-2022,67715676,942,227,148388.0,1.0,1.0,13,0,0
19,khaby00,01-21-2022,67864369,943,228,148693.0,1.0,1.0,13,0,0
20,khaby00,01-22-2022,67999690,943,228,135321.0,0.0,0.0,13,0,0
21,khaby00,01-23-2022,68130214,942,229,130524.0,-1.0,1.0,14,0,0
22,khaby00,01-24-2022,68116192,943,229,-14022.0,1.0,0.0,14,0,0
23,khaby00,01-25-2022,68328913,943,230,212721.0,0.0,1.0,14,0,0
24,khaby00,01-26-2022,68441056,943,231,112143.0,0.0,1.0,14,0,0
25,khaby00,01-27-2022,68546065,943,232,105009.0,0.0,1.0,14,0,0
26,khaby00,01-28-2022,68679928,942,232,133863.0,-1.0,0.0,14,0,0
27,khaby00,01-29-2022,68793362,941,233,113434.0,-1.0,1.0,14,0,0
28,khaby00,01-30-2022,68850342,942,234,56980.0,1.0,1.0,20,0,0
