"artist_num","danceability","energy","loudness","speechiness","acousticness","liveness","valence","tempo","key","mode","n_weeks","art_popularity","best_rank","max_streams"
2,0.681,0.594,-7.028,0.282,0.165,0.134,0.535,186.054,7,1,66,0.875,1,25734078
2,0.748,0.524,-5.599,0.0338,0.414,0.111,0.661,95.01,8,1,160,0.819375,2,23519705
3,0.72,0.763,-4.068,0.0523,0.406,0.18,0.742,101.965,9,0,53,0.779937106918239,3,22844114
2,0.476,0.718,-5.309,0.0576,0.0784,0.122,0.142,199.864,8,1,44,0.845,4,19852704
2,0.735,0.451,-8.374,0.0585,0.0631,0.325,0.0862,117.973,0,1,64,0.88,2,30752312
2,0.783,0.623,-6.126,0.08,0.338,0.0975,0.447,100.048,7,1,27,0.875,6,18411654
1,0.928,0.481,-9.35,0.287,0.105,0.176,0.613,134.007,9,0,36,0.95,7,18376989
1,0.358,0.557,-7.398,0.059,0.695,0.0902,0.494,85.043,10,1,218,0.802522935779816,7,19156532
1,0.818,0.803,-4.282,0.0797,0.034,0.153,0.632,106.97,1,1,48,0.88,9,16736035
2,0.773,0.819,-5.946,0.118,0.426,0.0679,0.585,92.99,0,0,59,0.874576271186441,9,18566829
2,0.794,0.632,-6.163,0.0649,0.142,0.128,0.355,145.926,0,1,25,0.755,11,16130702
3,0.791,0.619,-5.886,0.0532,0.00784,0.351,0.371,103.989,1,1,76,0.803333333333333,12,15958402
2,0.852,0.773,-2.921,0.0776,0.187,0.159,0.907,102.034,8,0,39,0.855,13,16256079
3,0.608,0.798,-5.092,0.0432,0.0736,0.156,0.501,92.943,6,0,35,0.786666666666667,14,14278458
2,0.67,0.838,-4.031,0.0362,0.0604,0.159,0.717,104.998,0,1,37,0.58,13,16911673
2,0.49,0.485,-6.237,0.0406,0.0592,0.337,0.196,133.889,4,0,35,0.805,16,13936848
2,0.926,0.666,-5.314,0.244,0.0611,0.123,0.168,127.079,11,1,48,0.815,9,18937768
2,0.648,0.738,-5.883,0.247,0.0408,0.292,0.603,159.145,6,0,36,0.88,18,12802756
2,0.647,0.932,-3.515,0.0824,0.00383,0.0574,0.374,114.991,11,1,21,0.72,16,15181450
3,0.636,0.633,-4.23,0.126,0.371,0.102,0.512,99.721,4,1,32,0.716666666666667,20,11678776
2,0.697,0.691,-4.757,0.146,0.214,0.185,0.305,137.853,2,1,21,0.815,16,14805806
1,0.469,0.68,-4.921,0.117,0.137,0.11,0.374,147.734,11,0,38,0.85,22,12117665
1,0.818,0.913,-3.06,0.0426,0.093,0.161,0.536,119.986,4,0,23,0.85,23,11099145
2,0.662,0.586,-8.821,0.0307,0.097,0.115,0.296,90,0,1,17,0.685,24,11587191
2,0.542,0.859,-5.651,0.197,0.16,0.137,0.403,159.797,11,1,44,0.755,25,10662121
1,0.624,0.803,-4.105,0.246,0.123,0.114,0.821,166.018,10,0,44,0.85,26,10655487
1,0.732,0.396,-9.348,0.0286,0.0841,0.105,0.548,90.024,4,0,31,0.81,27,10591337
1,0.666,0.83,-5.715,0.0751,0.0123,0.191,0.702,113.03,0,1,42,0.8,28,10147451
1,0.573,0.739,-5.74,0.129,0.0285,0.111,0.451,97.085,0,1,21,0.75,29,10191078
2,0.563,0.775,-6.433,0.0366,0.00251,0.326,0.458,144.945,8,1,23,0.685,22,12062609
1,0.628,0.698,-5.608,0.105,0.0472,0.0907,0.732,89.976,6,0,33,0.84,31,9085236
1,0.781,0.57,-5.874,0.188,0.273,0.196,0.858,107.059,11,0,14,0.65,29,10673070
1,0.495,0.762,-3.842,0.0862,0.591,0.0763,0.708,123.893,8,1,13,0.78,33,10111228
2,0.696,0.743,-3.838,0.0331,0.0778,0.0581,0.644,122.978,6,1,17,0.725,34,9747407
1,0.761,0.838,-3.073,0.0502,0.4,0.176,0.71,93.974,4,0,34,0.71,33,10222203
1,0.676,0.929,-3.194,0.0458,0.186,0.121,0.157,97.019,10,1,17,0.81,36,9193283
3,0.707,0.883,-4.281,0.0602,0.0707,0.23,0.541,106.031,0,1,9,0.603333333333333,37,8616666
1,0.486,0.713,-3.949,0.0524,0.0853,0.0839,0.297,121.028,2,0,14,0.76,29,10503561
3,0.483,0.787,-5.244,0.102,0.112,0.257,0.58,122.058,8,1,18,0.806666666666667,30,10530366
2,0.663,0.713,-6.647,0.112,0.0353,0.0843,0.69,101.965,7,0,33,0.7,40,8454914
2,0.728,0.563,-8.053,0.134,0.621,0.179,0.352,100.017,1,0,47,0.845,41,8303152
3,0.788,0.43,-7.757,0.0419,0.537,0.0936,0.461,121.996,11,1,31,0.696666666666667,27,11164986
4,0.508,0.687,-4.361,0.326,0.551,0.126,0.555,180.044,0,1,29,0.77,43,7845521
2,0.886,0.525,-7.39,0.131,0.236,0.057,0.708,145.99,8,1,26,0.705,44,7780722
2,0.631,0.927,-2.787,0.0332,0.199,0.148,0.465,123.962,9,0,27,0.87,45,7637496
1,0.314,0.555,-9.601,0.37,0.157,0.067,0.159,179.666,9,1,30,0.75,19,13331214
1,0.945,0.394,-8.571,0.492,0.303,0.131,0.743,120.058,10,1,20,0.7,42,8391667
2,0.803,0.585,-5.861,0.0432,0.103,0.0644,0.593,105.017,8,1,28,0.755,48,7241437
2,0.663,0.92,-4.07,0.226,0.00431,0.101,0.533,99.935,11,0,30,0.795,49,7074781
2,0.832,0.772,-5.429,0.1,0.0559,0.44,0.704,96.016,10,1,43,0.835,50,7191355
1,0.573,0.63,-8.389,0.105,0.189,0.259,0.218,77.525,1,1,17,0.94,51,6656284
2,0.803,0.569,-7.392,0.0739,0.0623,0.083,0.809,107.986,2,1,11,0.605,52,6572154
2,0.742,0.819,-5.307,0.0487,0.372,0.277,0.709,117.986,1,1,25,0.725,53,6506901
2,0.668,0.725,-6.127,0.266,0.0102,0.0561,0.729,191.944,1,1,13,0.865,49,7408820
1,0.645,0.713,-5.355,0.0393,0.00835,0.113,0.566,74.989,6,1,29,0.81,55,6437621
1,0.78,0.575,-5.628,0.139,0.106,0.129,0.273,81.502,1,0,38,0.79,21,13254135
1,0.657,0.421,-11.378,0.412,0.352,0.187,0.181,174.063,9,1,10,0.86,57,6314763
1,0.744,0.836,-2.396,0.0507,0.0435,0.194,0.36,114.965,6,0,42,0.67,25,12150303
2,0.725,0.534,-6.238,0.0946,0.0752,0.0919,0.558,91.974,11,1,13,0.92,59,6239752
2,0.804,0.648,-7.805,0.117,0.0573,0.102,0.392,117.983,7,1,15,0.92,60,5953272
1,0.602,0.707,-4.097,0.302,0.393,0.165,0.554,75.087,9,1,21,0.68,53,6944163
1,0.609,0.378,-9.828,0.438,0.835,0.28,0.515,100.418,4,1,46,0.91,62,5890670
1,0.734,0.637,-5.677,0.141,0.0462,0.0602,0.648,169.977,4,0,35,0.808857142857143,63,5871752
1,0.589,0.651,-5.097,0.0306,0.0291,0.111,0.166,90.011,6,1,34,0.81,64,5824048
1,0.654,0.76,-3.669,0.045,0.0797,0.299,0.41,99.945,0,0,28,0.91,65,5808895
1,0.576,0.766,-4.943,0.449,0.028,0.366,0.236,144.833,10,0,27,0.64,66,5724207
2,0.492,0.275,-13.4,0.3,0.687,0.101,0.18,92.6,6,0,17,0.67,67,5635133
2,0.588,0.471,-7.287,0.0577,0.592,0.0733,0.209,152.881,0,1,11,0.765,54,6677226
